NUM-P TME
#FIFO
10  1458.490566
20  2886.351515
30  3594.802691
40  5714.627376
50  7365.935154
60  7410.098930
70  7224.482833
80  8165.991197
90  10509.806228
100 11158.651515

#SJF
10  590.544118
20  1478.230159
30  2036.338164
40  3769.790262
50  3330.350282
60  3665.042353
70  8415.139583
80  4720.096189
90  6928.379252
100 7051.842105

#LJF
10  655.000000
20  1954.678322
30  4750.340314
40  5766.526718
50  5580.181538
60  7351.718499
70  8489.508065
80  10039.686567
90  11276.701299
100 11285.081395

#PRIO-STATIC
10  746.836066
20  2226.205882
30  4375.094737
40  6512.749049
50  5123.271978
60  8611.318945
70  11488.148230
80  9329.747628
90  13255.328746
100 14187.115983

#PRIO-DYNAMIC
10  882.909091
20  2510.270833
30  3736.109005
40  4394.017794
50  5734.655527
60  7668.806202
70  10431.066372
80  18118.661795
90  11347.400982
100 19261.732316
